country,year_enacted,,,,,
Afghanistan,1964,,,,,
Afghanistan,2004,,,,,
Albania,1998,,,,,
Algeria,1989,,,,,
Algeria,2020,,,,,
Andorra,1993,,,,,
Angola,2010,,,,,
Antigua and Barbuda,1981,,,,,
Argentina,1853,,,,,
Armenia,1995,,,,,
Australia,1901,,,,,
Austria,1920,,,,,
Azerbaijan,1995,,,,,
Baden,1818,,,,,
Bahamas the,1973,,,,,
Bahrain,2002,,,,,
Bangladesh,1972,,,,,
Barbados,1966,,,,,
Bavaria,1808,,,,,
Belarus,1994,,,,,
Belgium,1831,,,,,
Belgium,1831,,,,,
Belize,1981,,,,,
Benin,1990,,,,,
Bhutan,2008,,,,,
Bolivia,2009,,,,,
Bosnia and Herzegovina,1995,,,,,
Botswana,1966,,,,,
Brazil,1988,,,,,
Brunei Darussalam,1959,,,,,
Bulgaria,1991,,,,,
Burkina Faso,1991,,,,,
Burundi,2005,,,,,
Burundi,2018,,,,,
Cambodia,1993,,,,,
Cameroon,1972,,,,,
Canada,1867,,,,,
Cape Verde,1980,,,,,
Central African Republic the,2004,,,,,
Central African Republic the,2013,,,,,
Central African Republic the,2016,,,,,
Chad,1996,,,,,
Chad,2018,,,,,
Chile,1925,,,,,
China,1982,,,,,
Colombia,1991,,,,,
Comoros the,2001,,,,,
Comoros the,2018,,,,,
Congo the,2001,,,,,
Congo the,2015,,,,,
Costa Rica,1949,,,,,
Cote d Ivoire,2000,,,,,
Cote d Ivoire,2016,,,,,
Croatia,1991,,,,,
Cuba,1976,,,,,
Cuba,null,,,,,
Cuba,2019,,,,,
Cyprus,1960,,,,,
Czech Republic the,1993,,,,,
Democratic Republic of the Congo,2005,,,,,
Denmark,1953,,,,,
Greenland,1953,,,,,
Djibouti,1992,,,,,
Dominica,1978,,,,,
Dominican Republic the,2010,,,,,
Dominican Republic the,2015,,,,,
Timor-Leste,2002,,,,,
Ecuador,2008,,,,,
Egypt,2012,,,,,
Egypt,2014,,,,,
El Salvador,1983,,,,,
Equatorial Guinea,1991,,,,,
Eritrea,1997,,,,,
Estonia,1992,,,,,
Ethiopia,1994,,,,,
Fiji,2013,,,,,
Finland,1999,,,,,
France,1958,,,,,
Gabon,1991,,,,,
Gambia  the,1996,,,,,
Gambia  the,null,,,,,
Gambia  the,null,,,,,
Georgia,1995,,,,,
Germany,1949,,,,,
Germany Prussia,1919,,,,,
Ghana,1992,,,,,
Greece,1975,,,,,
Grenada,1973,,,,,
Guatemala,1985,,,,,
Guinea,2010,,,,,
Guinea-Bissau,1984,,,,,
Guyana,1980,,,,,
Haiti,1987,,,,,
Honduras,1982,,,,,
Hungary,2011,,,,,
Iceland,null,,,,,
Iceland,1944,,,,,
India,1949,,,,,
Indonesia,1945,,,,,
Iran Islamic Rep of ,1979,,,,,
Iraq,2005,,,,,
Ireland,1937,,,,,
Israel,1958,,,,,
Italy,1947,,,,,
Jamaica,1962,,,,,
Japan,1889,,,,,
Japan,1946,,,,,
Jordan,1952,,,,,
Kazakhstan,1995,,,,,
Kenya,2010,,,,,
Kiribati,1979,,,,,
Kosovo,2008,,,,,
Kuwait,1962,,,,,
Kyrgyzstan,2010,,,,,
Lao People s Democratic Republic  the,1991,,,,,
